"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Mar 16 04:29:11 UTC 2026","Mon Mar 16 04:29:11 UTC 2026","6","","tests.authors.GetAuthorByIdApiTests","","tests.authors.GetAuthorByIdApiTests","testGetAuthorById_InvalidId","Get author by ID - Invalid ID","Verify API returns an error when author ID is invalid"
"broken","Mon Mar 16 04:29:10 UTC 2026","Mon Mar 16 04:29:10 UTC 2026","13","","tests.authors.UpdateAuthorsApiTests","","tests.authors.UpdateAuthorsApiTests","testUpdateAuthor_NonExistentId","Update author - Non-existent ID","Verify behavior when updating an author that doesn't exist"
"passed","Mon Mar 16 04:29:09 UTC 2026","Mon Mar 16 04:29:09 UTC 2026","392","","tests.books.CreateBooksApiTests","","tests.books.CreateBooksApiTests","testCreateBook_InvalidPublishDate","Create book - invalid publishDate","Verify API returns an error when publishDate has an invalid format"
"failed","Mon Mar 16 04:29:09 UTC 2026","Mon Mar 16 04:29:09 UTC 2026","850","","tests.authors.UpdateAuthorsApiTests","","tests.authors.UpdateAuthorsApiTests","testUpdateAuthor_InvalidBookId","Update author - Invalid book ID","Verify API returns an error when updating author with non-existing book ID"
"broken","Mon Mar 16 04:29:10 UTC 2026","Mon Mar 16 04:29:10 UTC 2026","12","","tests.authors.DeleteAuthorsApiTests","","tests.authors.DeleteAuthorsApiTests","testDeleteAuthor_InvalidId_ReturnsNotFound","Delete author with invalid ID - Edge Case","Verify that deleting an author with invalid ID returns 404"
"broken","Mon Mar 16 04:29:11 UTC 2026","Mon Mar 16 04:29:11 UTC 2026","6","","tests.authors.GetAuthorByIdApiTests","","tests.authors.GetAuthorByIdApiTests","testGetAuthorById_NonExistentId","Get author by ID - Non-existent ID","Verify behavior when requesting an author that doesn't exist"
"passed","Mon Mar 16 04:29:07 UTC 2026","Mon Mar 16 04:29:08 UTC 2026","1744","","tests.authors.GetAllAuthorsApiTests","","tests.authors.GetAllAuthorsApiTests","testGetAllAuthors_Success","Get all authors - Success","Verify that all authors can be retrieved successfully"
"passed","Mon Mar 16 04:29:10 UTC 2026","Mon Mar 16 04:29:10 UTC 2026","389","","tests.authors.CreateAuthorsApiTests","","tests.authors.CreateAuthorsApiTests","testCreateAuthor_MaximumNameLength_BehaviorValidation","Create author - Maximum name length","Verify behavior when creating author with maximum name length"
"broken","Mon Mar 16 04:29:10 UTC 2026","Mon Mar 16 04:29:10 UTC 2026","77","","tests.authors.CreateAuthorsApiTests","","tests.authors.CreateAuthorsApiTests","testCreateAuthor_EmptyPayload_BehaviorValidation","Create author - Empty payload","Verify API behavior when creating an author with empty payload"
"passed","Mon Mar 16 04:29:09 UTC 2026","Mon Mar 16 04:29:09 UTC 2026","409","","tests.authors.GetAuthorsByBookIdApiTests","","tests.authors.GetAuthorsByBookIdApiTests","testGetAuthorsByBookId_NonExistentBookId","Get authors by book ID - Non-existent book ID","Verify API returns 404 when book does not exist"
"failed","Mon Mar 16 04:29:07 UTC 2026","Mon Mar 16 04:29:09 UTC 2026","1798","","tests.books.GetBookByIdApiTests","","tests.books.GetBookByIdApiTests","testGetBookById_Success","Get book by ID - Success","Verify that a specific book can be retrieved by its ID"
"passed","Mon Mar 16 04:29:07 UTC 2026","Mon Mar 16 04:29:08 UTC 2026","1734","","tests.books.GetAllBooksApiTests","","tests.books.GetAllBooksApiTests","testGetAllBooks_Success","Get all books - Success","Verify that all books can be retrieved successfully"
"passed","Mon Mar 16 04:29:09 UTC 2026","Mon Mar 16 04:29:10 UTC 2026","830","","tests.authors.UpdateAuthorsApiTests","","tests.authors.UpdateAuthorsApiTests","testUpdateAuthor_Success","Update author - Success","Verify that an author can be updated successfully with valid data"
"failed","Mon Mar 16 04:29:09 UTC 2026","Mon Mar 16 04:29:10 UTC 2026","424","","tests.authors.GetAuthorsByBookIdApiTests","","tests.authors.GetAuthorsByBookIdApiTests","testGetAuthorsByBookId_BookWithoutAuthors","Get authors by book ID - Book without authors","Verify API returns empty list when book exists but has no authors"
"broken","Mon Mar 16 04:29:10 UTC 2026","Mon Mar 16 04:29:10 UTC 2026","454","","tests.authors.DeleteAuthorsApiTests","","tests.authors.DeleteAuthorsApiTests","testDeleteAuthor_ExistingId_DeletesAuthorSuccessfully","Delete author with valid ID - Happy Path","Verify that an author can be deleted successfully with valid ID"
"failed","Mon Mar 16 04:29:09 UTC 2026","Mon Mar 16 04:29:10 UTC 2026","404","","tests.books.DeleteBooksApiTests","","tests.books.DeleteBooksApiTests","testDeleteBook_NonExistingId_ReturnsNotFound","Delete book with non-existing ID - Edge Case","Verify that deleting a non-existent book returns 404"
"broken","Mon Mar 16 04:29:10 UTC 2026","Mon Mar 16 04:29:10 UTC 2026","25","","tests.authors.CreateAuthorsApiTests","","tests.authors.CreateAuthorsApiTests","testCreateAuthor_InvalidBookId","Create author - Invalid book ID","Verify API returns an error when creating author with non-existing book ID"
